271,＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　乾　ゆで,83,,,
272,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　乾,344,,,
273,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　ゆで,78,,,
274,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　普通はるさめ　乾,346,,,
275,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　普通はるさめ　ゆで,76,,,
276,（砂糖類）　黒砂糖,352,,,
277,（砂糖類）　てんさい含蜜糖,357,,,
278,（砂糖類）　和三盆糖,393,,,
279,（砂糖類）　車糖　上白糖,391,,,
280,（砂糖類）　車糖　三温糖,390,,,
281,（砂糖類）　ざらめ糖　グラニュー糖,394,,,
282,（砂糖類）　ざらめ糖　白ざら糖,393,,,
283,（砂糖類）　ざらめ糖　中ざら糖,393,,,
284,（砂糖類）　加工糖　角砂糖,394,,,
285,（砂糖類）　加工糖　氷砂糖,394,,,
286,（砂糖類）　加工糖　コーヒーシュガー,394,,,
287,（砂糖類）　加工糖　粉糖,393,,,
288,（砂糖類）　液糖　しょ糖型液糖,267,,,
289,（砂糖類）　液糖　転化型液糖,294,,,
290,（砂糖類）　氷糖みつ,274,,,
291,（でん粉糖類）　還元麦芽糖,208,,,
292,（でん粉糖類）　還元水あめ,210,,,
293,（でん粉糖類）　粉あめ,397,,,
294,（でん粉糖類）　水あめ　酵素糖化,342,,,
295,（でん粉糖類）　水あめ　酸糖化,341,,,
296,（でん粉糖類）　ぶどう糖　全糖,342,,,
297,（でん粉糖類）　ぶどう糖　含水結晶,342,,,
298,（でん粉糖類）　ぶどう糖　無水結晶,374,,,
299,（でん粉糖類）　果糖,375,,,
300,（でん粉糖類）　異性化液糖　ぶどう糖果糖液糖,283,,,
301,（でん粉糖類）　異性化液糖　果糖ぶどう糖液糖,283,,,
302,（でん粉糖類）　異性化液糖　高果糖液糖,282,,,
303,（その他）　黒蜜,199,,,
304,（その他）　はちみつ,329,,,
305,（その他）　メープルシロップ,266,,,
306,あずき　全粒　乾,304,,,
307,あずき　全粒　ゆで,124,,,
308,あずき　ゆで小豆缶詰,202,,,
309,あずき　あん　こし生あん,147,,,
310,あずき　あん　さらしあん　（乾燥あん）,335,,,
311,あずき　あん　こし練りあん　（並あん）,255,,,
312,あずき　あん　こし練りあん　（中割りあん）,262,,,
313,あずき　あん　こし練りあん　（もなかあん）,292,,,
314,あずき　あん　つぶし練りあん,239,,,
315,いんげんまめ　全粒　乾,280,,,
316,いんげんまめ　全粒　ゆで,127,,,
317,いんげんまめ　うずら豆,214,,,
318,いんげんまめ　こし生あん,135,,,
319,いんげんまめ　豆きんとん,238,,,
320,えんどう　全粒　青えんどう　乾,310,,,
321,えんどう　全粒　青えんどう　ゆで,129,,,
322,えんどう　全粒　赤えんどう　乾,310,,,
323,えんどう　全粒　赤えんどう　ゆで,129,,,
324,えんどう　グリンピース（揚げ豆）,375,,,
325,えんどう　塩豆,321,,,
326,えんどう　うぐいす豆,228,,,
327,ささげ　全粒　乾,280,,,
328,ささげ　全粒　ゆで,130,,,
329,そらまめ　全粒　乾,323,,,
330,そらまめ　フライビーンズ,436,,,
331,そらまめ　おたふく豆,237,,,
332,そらまめ　ふき豆,251,,,
333,そらまめ　しょうゆ豆,173,,,
334,だいず　［全粒・全粒製品］　全粒　青大豆　国産　乾,354,,,
335,だいず　［全粒・全粒製品］　全粒　青大豆　国産　ゆで,145,,,
336,だいず　［全粒・全粒製品］　全粒　黄大豆　国産　乾,372,,,
337,だいず　［全粒・全粒製品］　全粒　黄大豆　国産　ゆで,163,,,
338,だいず　［全粒・全粒製品］　全粒　黄大豆　米国産　乾,402,,,
339,だいず　［全粒・全粒製品］　全粒　黄大豆　中国産　乾,391,,,
340,だいず　［全粒・全粒製品］　全粒　黄大豆　ブラジル産　乾,414,,,
341,だいず　［全粒・全粒製品］　全粒　黒大豆　国産　乾,349,,,
342,だいず　［全粒・全粒製品］　全粒　黒大豆　国産　ゆで,155,,,
